,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
37,Kavaratti,10.5669,72.642,80.31,72,11,8.97,IN,1611954945
38,Rikitea,-23.1203,-134.9692,79.88,67,97,6.49,PF,1611954946
39,Mount Isa,-20.7333,139.5,80.6,65,84,2.3,AU,1611954946
40,Bereda,43.2686,-7.5406,55.0,98,100,13.0,ES,1611954946
41,Tasiilaq,65.6145,-37.6368,15.8,86,90,23.02,GL,1611954946
42,Kysyl-Syr,63.8986,122.7617,-46.39,76,100,2.82,RU,1611954946
43,Fallon,39.4735,-118.7774,35.6,87,75,4.61,US,1611954946
44,Fort Morgan,40.2503,-103.8,50.0,37,1,4.61,US,1611954946
45,Masumbwe,-3.6333,32.1833,65.26,85,19,2.8,TZ,1611954946
46,Acarí,-15.4311,-74.6158,81.54,48,0,10.16,PE,1611954946
47,Khawhai,23.3667,93.1167,38.53,74,0,1.61,IN,1611954947
48,Salalah,17.0151,54.0924,73.4,60,75,5.75,OM,1611954947
49,Valdivia,-39.8142,-73.2459,73.4,49,40,3.44,CL,1611954838
50,San Onofre,9.7359,-75.5263,85.53,58,100,15.3,CO,1611954947
51,Vanavara,60.34,102.2797,-38.99,79,47,7.85,RU,1611954947
52,Bluff,-46.6,168.3333,48.0,80,87,8.01,NZ,1611954947
53,Homer,59.6425,-151.5483,26.01,80,1,8.57,US,1611954947
54,San Lorenzo,-25.3333,-57.5333,86.0,74,75,18.41,PY,1611954947
55,Padang,-0.9492,100.3543,75.2,94,75,4.61,ID,1611954677
56,Albany,42.6001,-73.9662,17.01,43,64,11.99,US,1611954840
57,Saldanha,-33.0117,17.9442,65.03,89,0,12.68,ZA,1611954948
58,Kapaa,22.0752,-159.319,75.2,69,40,19.57,US,1611954948
59,Port Alfred,-33.5906,26.891,64.99,88,1,1.01,ZA,1611954948
60,Muros,42.7762,-9.0603,57.0,89,100,20.0,ES,1611954948
61,Yellowknife,62.456,-114.3525,-14.8,76,1,9.22,CA,1611954850
62,Hobyo,5.3505,48.5268,75.88,74,19,16.75,SO,1611954948
63,Houma,29.5958,-90.7195,64.99,51,1,3.44,US,1611954818
64,Lüderitz,-26.6481,15.1594,72.07,39,0,25.48,NA,1611954948
65,Eureka,40.8021,-124.1637,53.01,81,1,10.36,US,1611954800
66,San Cristobal,7.7669,-72.225,84.2,58,40,12.66,VE,1611954949
67,Darhan,49.4867,105.9228,0.19,88,92,0.87,MN,1611954949
68,Atuona,-9.8,-139.0333,78.67,77,3,19.15,PF,1611954949
69,Gornopravdinsk,60.05,69.9,-21.64,84,72,6.85,RU,1611954949
70,Busselton,-33.65,115.3333,62.01,85,0,5.01,AU,1611954949
71,Dikson,73.5069,80.5464,-31.13,85,100,6.04,RU,1611954949
72,High Level,58.5169,-117.136,-7.6,84,20,2.3,CA,1611954949
73,Namatanai,-3.6667,152.4333,82.09,81,89,11.54,PG,1611954949
74,Butaritari,3.0707,172.7902,80.6,75,93,18.63,KI,1611954949
75,Saint Paul Harbor,57.79,-152.4072,35.6,64,75,11.5,US,1611954949
76,Airai,-8.9266,125.4092,61.65,100,100,4.38,TL,1611954950
77,Navalmoral de la Mata,39.8916,-5.5406,46.0,96,35,1.01,ES,1611954950
78,Kibala,9.1104,18.3463,77.0,33,0,3.11,TD,1611954950
79,Ixtapa,20.7,-105.2,77.0,73,20,14.97,MX,1611954654
80,Vaini,-21.2,-175.2,77.0,94,90,9.22,TO,1611954950
81,Ipswich,52.0592,1.1555,46.99,100,75,8.05,GB,1611954950
82,Tuatapere,-46.1333,167.6833,48.0,80,4,8.01,NZ,1611954950
83,Saint-Pierre,-21.3393,55.4781,78.8,65,0,5.75,RE,1611954950
84,Saskylakh,71.9167,114.0833,-38.79,79,59,1.48,RU,1611954950
85,Iqaluit,63.7506,-68.5145,-13.0,70,1,17.27,CA,1611954691
86,Thompson,55.7435,-97.8558,8.6,72,90,5.75,CA,1611954950
87,Sistranda,63.7256,8.834,33.8,93,90,18.41,NO,1611954951
88,Puerto Escondido,15.85,-97.0667,86.0,70,40,4.61,MX,1611954881
89,Senador José Porfírio,-2.5908,-51.9542,84.45,67,88,4.38,BR,1611954951
90,Lata,40.1629,-8.3327,57.0,93,100,3.0,PT,1611954951
91,Mataura,-46.1927,168.8643,48.0,80,29,8.01,NZ,1611954951
92,Hermanus,-34.4187,19.2345,66.99,78,87,1.99,ZA,1611954951
93,Vangaindrano,-23.35,47.6,76.66,89,65,6.29,MG,1611954951
94,Lagoa,39.05,-27.9833,59.11,76,8,11.25,PT,1611954669
95,Hibbing,47.4272,-92.9377,24.8,68,75,17.27,US,1611954952
96,Shimoda,34.6667,138.95,28.99,62,0,18.05,JP,1611954952
97,Silifke,36.3778,33.9344,46.42,49,33,8.59,TR,1611954952
98,Severo-Kuril'sk,50.6789,156.125,20.82,91,98,14.16,RU,1611954952
99,Joshīmath,30.5667,79.5667,33.76,46,0,8.93,IN,1611954952
100,Castro,-24.7911,-50.0119,69.04,93,97,7.34,BR,1611954952
101,Paso de Carrasco,-34.8603,-56.0522,81.0,53,0,6.91,UY,1611954797
102,Dahuk,36.8695,42.994,41.85,88,100,0.83,IQ,1611954952
103,Cape Town,-33.9258,18.4232,69.01,82,20,9.22,ZA,1611954891
104,Barrow,71.2906,-156.7887,-11.2,77,90,9.22,US,1611954952
105,Huntsville,34.7304,-86.5861,51.01,32,1,4.61,US,1611954703
106,Kalininsk,51.5,44.4758,25.36,97,26,13.65,RU,1611954953
107,Mahébourg,-20.4081,57.7,80.6,83,40,11.5,MU,1611954953
108,Mergen,49.1833,125.2167,-27.87,82,45,5.59,CN,1611954860
109,Miyako,39.6367,141.9525,26.78,83,1,24.61,JP,1611954953
110,Ihosy,-22.4,46.1167,70.74,89,88,6.08,MG,1611954953
111,Quatre Cocos,-20.2078,57.7625,80.6,83,40,11.5,MU,1611954953
112,Fort Nelson,58.8053,-122.7002,-11.2,70,75,1.83,CA,1611954953
113,Mar del Plata,-38.0023,-57.5575,73.4,60,75,6.91,AR,1611954954
114,Isangel,-19.55,169.2667,77.0,88,20,15.14,VU,1611954682
115,Singkawang,0.9,109.0,74.55,95,100,7.16,ID,1611954954
116,Little Current,45.9793,-81.9248,21.2,67,97,10.36,CA,1611954792
117,Dawson Creek,55.7666,-120.2362,1.4,71,1,2.3,CA,1611954904
118,Plettenberg Bay,-34.0527,23.3716,63.75,76,0,3.89,ZA,1611954678
119,Quang Ngai,15.1167,108.8,66.02,87,86,3.11,VN,1611954954
120,Goundi,9.3627,17.366,79.27,19,21,3.65,TD,1611954954
121,Arraial do Cabo,-22.9661,-42.0278,78.8,73,0,17.27,BR,1611954954
122,Florence,43.7667,11.25,48.99,100,75,3.44,IT,1611954954
123,San Miguel,13.4833,-88.1833,94.41,20,36,11.36,SV,1611954955
124,Brasília,-15.7797,-47.9297,84.2,39,40,8.05,BR,1611954881
125,Richards Bay,-28.783,32.0377,72.55,87,93,2.1,ZA,1611954955
126,Esperance,-33.8667,121.9,55.4,88,1,5.75,AU,1611954955
127,Bathsheba,13.2167,-59.5167,80.6,65,40,12.66,BB,1611954955
128,Punta Arenas,-53.15,-70.9167,50.0,50,75,19.57,CL,1611954723
129,Chul'man,56.8479,124.9104,-39.26,79,100,2.06,RU,1611954955
130,Raudeberg,61.9875,5.1352,34.0,93,75,9.22,NO,1611954955
131,Nipawin,53.3668,-104.0009,15.8,86,90,4.61,CA,1611954904
132,Labuhan,-6.8844,112.2051,77.76,86,100,16.15,ID,1611954677
133,Cabo San Lucas,22.8909,-109.9124,84.2,64,1,21.85,MX,1611954888
134,Ndola,-12.9587,28.6366,68.0,91,100,1.99,ZM,1611954927
135,Port Elizabeth,-33.918,25.5701,62.6,82,40,5.75,ZA,1611954956
136,Lengshuijiang,27.6881,111.4294,47.98,79,99,1.23,CN,1611954956
137,Hilo,19.7297,-155.09,71.6,83,90,8.05,US,1611954956
138,Jinchang,38.4953,102.1739,21.78,63,33,3.24,CN,1611954956
139,Faanui,-16.4833,-151.75,80.83,69,52,6.78,PF,1611954956
140,New Norfolk,-42.7826,147.0587,64.0,89,62,1.97,AU,1611954956
141,Marsh Harbour,26.5412,-77.0636,66.2,71,83,18.57,BS,1611954956
142,Carnarvon,-24.8667,113.6333,77.0,83,2,5.75,AU,1611954956
143,Yeppoon,-23.1333,150.7333,75.2,73,33,9.22,AU,1611954956
144,Kahului,20.8947,-156.47,78.8,57,40,23.02,US,1611954957
145,Hamilton,39.1834,-84.5333,34.0,51,90,3.44,US,1611954892
146,Requena,39.4883,-1.1004,66.2,52,0,12.66,ES,1611954957
147,Svetlaya,46.5389,138.3297,4.86,89,100,13.33,RU,1611954957
148,Nizwá,22.9333,57.5333,54.23,52,0,0.81,OM,1611954957
149,Nioro,13.35,-15.75,81.05,13,20,7.05,GM,1611954957
150,Saint-Joseph,-21.3667,55.6167,78.8,65,0,5.75,RE,1611954957
151,Baracoa,20.3467,-74.4958,71.55,77,99,11.39,CU,1611954957
152,Fortuna,40.5982,-124.1573,54.0,87,1,3.44,US,1611954674
153,Mobile,30.7835,-88.2,62.6,23,20,4.61,US,1611954733
154,Vao,-22.6667,167.4833,75.76,77,98,22.32,NC,1611954957
155,Lompoc,34.6391,-120.4579,53.01,87,90,4.61,US,1611954957
156,Lebu,-37.6167,-73.65,58.32,94,98,3.62,CL,1611954958
157,Pisco,-13.7,-76.2167,80.6,57,0,14.97,PE,1611954958
158,Provideniya,64.3833,-173.3,-8.39,82,93,8.39,RU,1611954958
159,Asău,46.4333,26.4,39.2,75,0,9.22,RO,1611954958
160,Durango,24.8333,-104.8333,75.56,20,0,2.91,MX,1611954946
161,Mersing,2.4312,103.8405,77.0,88,98,12.66,MY,1611954958
162,Lufilufi,-13.8745,-171.5986,77.0,94,90,19.57,WS,1611954958
163,Roald,62.5833,6.1333,32.0,100,90,6.91,NO,1611954958
164,Saint George,37.1041,-113.5841,44.6,81,20,4.61,US,1611954730
165,West Bay,19.3667,-81.4167,79.0,61,40,16.11,KY,1611954958
166,Veinticinco de Diciembre,25.2602,-104.0519,80.29,24,0,3.58,MX,1611954959
167,Bubaque,11.2833,-15.8333,78.69,72,0,13.98,GW,1611954959
168,Río Gallegos,-51.6226,-69.2181,53.6,37,40,26.46,AR,1611954959
169,Farafenni,13.5667,-15.6,81.75,13,7,7.47,GM,1611954959
170,Grindavik,63.8424,-22.4338,33.8,75,40,6.91,IS,1611954959
171,Zhangaözen,43.3,52.8,34.56,90,85,7.18,KZ,1611954959
172,Rome,43.2128,-75.4557,15.8,48,1,17.27,US,1611954959
173,Coolum Beach,-26.5333,153.1,79.0,76,13,5.99,AU,1611954959
174,Sines Municipality,37.9562,-8.8698,55.99,95,100,4.0,PT,1611954959
175,Avarua,-21.2078,-159.775,82.4,78,91,6.91,CK,1611954960
176,Havelock,34.8791,-76.9013,39.2,41,1,13.8,US,1611954695
177,Waipawa,-41.4122,175.5153,59.0,63,75,21.85,NZ,1611954960
178,Umba,66.6871,34.3429,9.01,95,100,11.97,RU,1611954960
179,Hithadhoo,-0.6,73.0833,81.37,76,56,9.64,MV,1611954960
180,Teya,60.3778,92.6267,-28.53,81,100,5.01,RU,1611954960
181,Ayagoz,47.9714,80.4392,12.97,88,0,6.51,KZ,1611954960
182,Urmia,37.5527,45.0761,37.4,75,90,4.61,IR,1611954717
183,São Domingos do Prata,-19.865,-42.9683,76.12,79,8,4.25,BR,1611954960
184,Flin Flon,54.7682,-101.865,12.2,85,90,6.91,CA,1611954960
185,Pontianak,-0.0333,109.3333,75.2,94,90,2.3,ID,1611954961
186,Atar,20.5169,-13.0499,71.55,21,0,9.26,MR,1611954961
187,Bahía Blanca,-38.7196,-62.2724,76.37,39,89,16.55,AR,1611954961
188,Katsuura,35.1333,140.3,37.4,48,20,18.41,JP,1611954961
189,Umluj,25.0213,37.2685,64.18,53,16,11.54,SA,1611954961
190,Beeskow,52.1667,14.25,28.99,81,100,6.22,DE,1611954961
191,Alto Araguaia,-17.3147,-53.2153,81.03,67,99,2.46,BR,1611954961
192,Comodoro Rivadavia,-45.8667,-67.5,62.6,45,40,9.22,AR,1611954901
193,Pacific Grove,36.6177,-121.9166,55.4,58,40,5.75,US,1611954754
194,Gotha,50.9482,10.7019,43.0,87,40,17.27,DE,1611954685
195,Souillac,-20.5167,57.5167,80.6,83,40,11.5,MU,1611954962
196,Itoman,26.1247,127.6694,55.4,54,40,5.75,JP,1611954962
197,Bull Savanna,17.8868,-77.5902,77.85,67,27,3.15,JM,1611954962
198,East London,-33.0153,27.9116,71.94,64,11,1.16,ZA,1611954962
199,Ürümqi,43.801,87.6005,1.4,85,15,0.36,CN,1611954845
200,Constitución,-35.3333,-72.4167,64.08,83,100,7.72,CL,1611954843
201,Bethel,41.3712,-73.414,19.4,45,1,17.27,US,1611954962
202,Sri Aman,1.2376,111.4621,75.2,100,100,1.41,MY,1611954962
203,Kyaikkami,16.08,97.5675,78.93,76,76,6.62,MM,1611954962
204,Severo-Yeniseyskiy,60.3725,93.0408,-32.49,84,100,5.32,RU,1611954962
205,Kangaatsiaq,68.3065,-53.4641,5.99,90,0,5.03,GL,1611954963
206,Walvis Bay,-22.9575,14.5053,66.99,77,78,8.05,NA,1611954714
207,Port Hardy,50.6996,-127.4199,42.8,81,90,18.41,CA,1611954963
208,Hong Kong,22.2855,114.1577,59.0,69,0,20.76,HK,1611954952
209,Dodge City,37.7528,-100.0171,50.0,57,1,12.66,US,1611954963
210,Espinosa,-14.9261,-42.8192,80.67,51,67,5.75,BR,1611954964
211,Xalapa,19.5333,-96.9167,63.36,75,91,5.91,MX,1611954964
212,İmamoğlu,37.2651,35.6572,46.0,100,0,6.91,TR,1611954964
213,Cherskiy,68.75,161.3,-32.64,83,48,4.38,RU,1611954965
214,Harper,4.375,-7.7169,78.22,85,98,5.06,LR,1611954965
215,Rangāpāra,26.8167,92.65,57.9,53,16,2.89,IN,1611954965
216,Qui Nhon,13.7667,109.2333,68.81,84,79,13.33,VN,1611954965
217,Wewak,-3.5534,143.6268,78.51,85,99,4.94,PG,1611954965
218,Adana Province,36.985,35.2881,41.0,87,20,8.03,TR,1611954965
219,Aswān,24.0934,32.907,54.07,44,0,8.16,EG,1611954695
220,Srednekolymsk,67.45,153.6833,-31.02,83,100,3.36,RU,1611954965
221,Teahupoo,-17.8333,-149.2667,86.0,66,40,12.66,PF,1611954965
222,Impfondo,1.6381,18.0667,75.7,82,62,1.28,CG,1611954966
223,Sambava,-14.2667,50.1667,76.98,87,100,4.23,MG,1611954966
224,Udachny,66.4167,112.4,-36.92,80,69,4.23,RU,1611954966
225,Cidreira,-30.1811,-50.2056,79.59,87,100,8.3,BR,1611954966
226,Erdenet,49.0333,104.0833,10.54,88,25,7.34,MN,1611954966
227,Yumen,40.2833,97.2,21.38,74,0,15.14,CN,1611954966
228,Geraldton,-28.7667,114.6,82.4,23,0,24.16,AU,1611954968
229,Krasnorechenskiy,44.6265,135.3532,-18.99,82,73,8.12,RU,1611954968
230,Viedma,-40.8135,-62.9967,70.0,48,93,1.01,AR,1611954968
231,Halifax,44.6453,-63.5724,28.4,64,100,9.22,CA,1611954904
232,Dingle,10.9995,122.6711,73.62,90,100,11.99,PH,1611954968
233,Alice Springs,-23.7,133.8833,79.0,69,90,9.22,AU,1611954836
234,Rypefjord,70.6333,23.6667,17.6,73,75,3.44,NO,1611954968
235,Ouricuri,-7.8825,-40.0817,81.97,51,100,4.07,BR,1611954968
236,Codrington,-38.2667,141.9667,60.46,81,100,11.63,AU,1611954969
237,North Myrtle Beach,33.816,-78.68,46.99,33,1,8.05,US,1611954969
238,Namie,37.4833,141.0,30.99,41,0,3.0,JP,1611954969
239,Ngunguru,-35.6167,174.5,61.0,95,96,1.99,NZ,1611954713
240,Chokurdakh,70.6333,147.9167,-24.3,86,100,7.63,RU,1611954969
241,Kampong Cham,11.9934,105.4635,68.97,60,100,9.93,KH,1611954969
242,Mitsamiouli,-11.3847,43.2844,82.87,70,100,7.29,KM,1611954969
243,Nara,34.6851,135.8049,32.0,86,20,5.75,JP,1611954823
244,Kavieng,-2.5744,150.7967,82.81,82,94,14.72,PG,1611954970
245,Tokur,53.1333,132.9,-32.48,85,77,1.3,RU,1611954970
246,Haines Junction,60.7522,-137.5108,-5.8,77,100,1.9,CA,1611954970
247,Kālāvad,22.2167,70.3833,66.0,58,77,4.61,IN,1611954970
248,Trincomalee,8.5711,81.2335,78.67,84,89,10.25,LK,1611954970
249,Gori,41.9842,44.1158,40.96,70,100,3.89,GE,1611954970
250,Touros,-5.1989,-35.4608,80.6,74,20,12.66,BR,1611954705
251,São Filipe,14.8961,-24.4956,75.61,56,77,10.83,CV,1611954970
252,Talnakh,69.4865,88.3972,-31.94,67,1,1.43,RU,1611954679
253,Deputatsky,69.3,139.9,-31.43,86,100,2.21,RU,1611954672
254,Ilulissat,69.2167,-51.1,1.4,55,20,9.22,GL,1611954971
255,Sørland,67.667,12.6934,19.4,79,40,3.44,NO,1611954971
256,Bungu,-7.6337,39.0582,73.92,95,94,4.94,TZ,1611954971
257,Tura,25.5198,90.2201,55.89,53,0,1.83,IN,1611954921
258,Dūngarpur,23.8333,73.7167,55.06,37,0,9.66,IN,1611954971
259,Vila Velha,-20.3297,-40.2925,81.0,74,0,19.57,BR,1611954695
260,Örnsköldsvik,63.2909,18.7153,1.4,92,34,5.75,SE,1611954971
261,Datong,40.0936,113.2914,20.26,83,0,5.99,CN,1611954971
262,Uvira,-3.4067,29.1458,73.27,64,7,0.63,CD,1611954971
263,Barcelona,41.3888,2.159,57.99,88,0,1.14,ES,1611954922
264,Tukan,53.8409,57.4552,17.08,94,100,4.27,RU,1611954971
265,Paita,-5.0892,-81.1144,82.4,61,75,10.36,PE,1611954972
266,Beaumont,30.0861,-94.1019,62.6,59,75,9.22,US,1611954972
267,Kruisfontein,-34.0033,24.7314,62.01,82,1,1.01,ZA,1611954972
268,Normandin,48.8333,-72.5321,6.8,66,100,11.5,CA,1611954972
269,Alofi,-19.0595,-169.9187,77.0,94,90,14.97,NU,1611954972
270,Hasaki,35.7333,140.8333,33.8,51,20,11.5,JP,1611954972
271,Nikolskoye,59.7035,30.7861,33.01,100,90,6.71,RU,1611954972
272,Korop,51.5664,32.9586,21.79,97,71,10.2,UA,1611954972
273,Krasnosel'kup,65.7,82.4667,-30.23,81,46,6.35,RU,1611954972
274,Vardø,70.3705,31.1107,23.0,93,75,14.97,NO,1611954972
275,Bintulu,3.1667,113.0333,77.0,94,40,6.62,MY,1611954973
276,Oistins,13.0667,-59.5333,80.6,65,40,12.66,BB,1611954973
277,Blagodatnoye,45.3997,42.5867,32.0,100,75,6.71,RU,1611954973
278,Narasannapeta,18.4167,84.05,71.01,78,44,2.15,IN,1611954973
279,Dörtyol,36.8616,36.2289,46.0,73,0,1.01,TR,1611954973
280,Sohag,26.557,31.6948,53.6,54,0,5.75,EG,1611954973
281,Belmonte,-15.8631,-38.8828,84.2,74,75,4.61,BR,1611954973
282,Beringovskiy,63.05,179.3167,-15.97,86,16,9.33,RU,1611954683
283,Antalaha,-14.9003,50.2788,75.85,88,93,3.49,MG,1611954973
284,Lorengau,-2.0226,147.2712,82.65,78,98,9.71,PG,1611954713
285,Changji,44.0167,87.3167,1.4,85,94,2.24,CN,1611954974
286,Tambura,5.6,27.4667,76.14,27,90,3.96,SS,1611954974
287,Ledyard Center,41.4398,-72.0142,19.0,51,13,5.99,US,1611954974
288,Coronel Vivida,-25.9797,-52.5678,69.1,97,92,5.7,BR,1611954911
289,Uyemskiy,64.4743,40.8524,17.6,86,90,13.42,RU,1611954974
290,Kushiro,42.975,144.3747,24.85,96,100,4.54,JP,1611954798
291,Conceição do Araguaia,-8.2578,-49.2647,82.0,81,100,2.48,BR,1611954974
292,Kandrian,-6.2167,149.55,81.34,78,100,13.69,PG,1611954974
293,Nanortalik,60.1432,-45.2371,32.79,90,100,8.86,GL,1611954974
294,Kharp,66.8014,65.8081,-37.62,79,48,1.28,RU,1611954974
295,Mount Gambier,-37.8333,140.7667,59.0,94,90,12.66,AU,1611954975
296,Ōme,35.7839,139.2431,32.0,63,1,3.44,JP,1611954975
297,Brâncoveni,44.3167,24.3,43.0,87,0,6.55,RO,1611954975
298,Itaqui,-29.1253,-56.5531,90.68,55,83,3.76,BR,1611954975
299,Torbay,47.6666,-52.7314,28.0,100,90,17.27,CA,1611954975
300,Kurchum,48.5722,83.6542,-4.7,92,34,1.79,KZ,1611954975
301,Colac,-38.3333,143.5833,57.99,1,98,5.99,AU,1611954975
302,Vila Franca do Campo,37.7167,-25.4333,60.8,82,20,6.91,PT,1611954975
303,San Jose,37.3394,-121.895,57.0,54,40,5.75,US,1611954972
304,Mandalgovi,45.7625,106.2708,15.33,90,59,13.4,MN,1611954975
305,Tigil',57.8,158.6667,-9.74,91,97,5.7,RU,1611954976
306,Montrose,38.4166,-108.2673,53.6,22,75,14.97,US,1611954934
307,Rafsanjān,30.4067,55.9939,55.76,36,64,6.29,IR,1611954976
308,Coyhaique,-45.5752,-72.0662,62.6,39,20,10.36,CL,1611954976
309,Jalu,29.0331,21.5482,55.36,69,0,7.07,LY,1611954931
310,Samur,41.8253,48.486,40.57,89,100,2.26,RU,1611954976
311,Mariehamn,60.0973,19.9348,28.4,74,20,14.97,AX,1611954976
312,Inhambane,-23.865,35.3833,79.12,84,20,3.8,MZ,1611954976
313,Mackay,-21.15,149.2,75.99,88,75,6.91,AU,1611954976
314,Tazovsky,67.4667,78.7,-37.5,79,0,6.4,RU,1611954680
315,Flinders,-34.5833,150.8552,71.01,98,99,4.0,AU,1611954977
316,Lebowakgomo,-24.2,29.5,66.2,94,40,8.05,ZA,1611954977
317,Hudiksvall,61.729,17.1036,6.44,95,61,5.3,SE,1611954977
318,Dembī Dolo,8.5333,34.8,66.88,44,97,2.46,ET,1611954977
319,Sola,-13.8833,167.55,86.0,79,40,2.3,VU,1611954977
320,Pīpār,26.3856,73.5378,54.07,35,0,8.55,IN,1611954977
321,Okha,53.5739,142.9478,-4.74,90,99,10.51,RU,1611954977
322,Chui,-33.6971,-53.4616,77.14,68,2,7.61,UY,1611954977
323,Dovers,12.8833,-61.1833,78.8,78,40,12.66,VC,1611954977
324,Leningradskiy,69.3833,178.4167,-23.85,84,97,8.97,RU,1611954978
325,Waingapu,-9.6567,120.2641,78.28,81,80,11.88,ID,1611954978
326,Dauphin,51.1494,-100.0502,14.0,85,90,13.8,CA,1611954976
327,Guia Lopes da Laguna,-21.4578,-56.1142,81.28,74,97,8.05,BR,1611954978
328,Maltahöhe,-24.8333,16.9833,80.02,18,1,8.52,NA,1611954978
329,Camaná,-16.6228,-72.7111,74.43,64,0,7.02,PE,1611954978
330,Uíge,-7.6087,15.0613,67.32,95,97,1.28,AO,1611954978
331,Fukuechō,32.6881,128.8419,43.34,61,0,10.22,JP,1611954978
332,Turukhansk,65.8167,87.9833,-30.37,77,96,5.5,RU,1611954978
333,Jiaojiang,28.6803,121.4428,37.0,87,0,2.82,CN,1611954979
334,Lambaréné,-0.7001,10.2406,77.79,87,100,4.63,GA,1611954979
335,Klaksvík,62.2266,-6.589,33.8,64,75,9.22,FO,1611954979
336,Safi,32.2994,-9.2372,59.22,86,0,7.02,MA,1611954979
337,Meulaboh,4.1363,96.1285,73.96,89,100,6.8,ID,1611954979
338,Vaitape,-16.5167,-151.75,80.91,69,53,6.69,PF,1611954979
339,Portland,45.5234,-122.6762,46.99,76,75,4.61,US,1611954751
340,Ha Tinh,18.3333,105.9,62.83,88,93,3.15,VN,1611954979
341,Samarai,-10.6167,150.6667,81.75,77,93,7.85,PG,1611954979
342,Fairburn,33.5671,-84.581,53.6,26,20,5.75,US,1611954979
343,Gijang,35.2442,129.2139,21.2,53,0,2.3,KR,1611954981
344,Papar,5.7333,115.9333,73.4,94,20,4.61,MY,1611954981
345,Mayo,38.8876,-76.5119,33.01,43,90,14.97,US,1611954749
346,Kulhudhuffushi,6.6221,73.07,80.44,69,0,8.01,MV,1611954981
347,Novonukutskiy,53.7002,102.7117,-5.15,91,100,2.55,RU,1611954981
348,Karratha,-20.7377,116.8463,81.05,77,40,3.31,AU,1611954981
349,Lethem,3.3803,-59.7968,88.59,46,88,10.65,GY,1611954981
350,Avera,33.194,-82.5271,51.8,32,1,4.61,US,1611954982
351,Lucapa,-8.4192,20.7447,66.18,94,77,0.89,AO,1611954982
352,Tromsø,69.6496,18.957,12.2,67,0,3.44,NO,1611954982
353,Alyangula,-13.8483,136.4192,82.4,83,100,9.22,AU,1611954982
354,Dubti,11.7361,41.0853,68.68,67,0,7.61,ET,1611954982
355,Coos Bay,43.3665,-124.2179,50.0,76,20,8.05,US,1611954982
356,Manaure,11.7751,-72.4445,85.5,48,27,15.32,CO,1611954982
